symbol,funding_centrality,borrowing_centrality,date
cETH,0.0860812534291884,0.9512336662167787,2021-12-02
cLINK,0.014139006829342146,0.0019371597423364624,2021-12-02
cREP,1.3841955964637134e-06,0.0,2021-12-02
cSAI,9.153274245226905e-06,0.0,2021-12-02
cSUSHI,0.0012304775436318166,0.00011220547737125574,2021-12-02
cTUSD,0.011766715235412947,0.0,2021-12-02
cUNI,0.005275715213305032,0.009387911639944695,2021-12-02
cUSDC,0.7256035724005643,0.12103623103714524,2021-12-02
cUSDT,0.4608825420333493,0.0,2021-12-02
cWBTC,5.813035082281299e-05,0.012679724453047785,2021-12-02
cWBTC2,0.027352146398198055,0.2738079759457567,2021-12-02
cYFI,0.00010172135130191925,0.0003651656801669215,2021-12-02
cZRX,0.004642545916682638,0.005962854782275481,2021-12-02
cAAVE,7.764872928409034e-05,0.0031678649497497093,2021-12-03
cBAT,0.008621194458912537,0.035422673750865614,2021-12-03
cCOMP,0.002409185974439045,0.053127295637356256,2021-12-03
cDAI,0.4976424981020738,0.035633489083974734,2021-12-03
cETH,0.08514654157916117,0.9640378482844023,2021-12-03
cLINK,0.014374038382607713,0.0019440086247543456,2021-12-03
cREP,1.3868634305428754e-06,-0.0,2021-12-03
cSAI,9.240366336122785e-06,-0.0,2021-12-03
cSUSHI,0.0012443006283140892,0.00011549015432439015,2021-12-03
cTUSD,0.011938057653781618,-0.0,2021-12-03
cUNI,0.00502864912358656,0.009283526040054169,2021-12-03
cUSDC,0.7278568486055198,0.12124858665356998,2021-12-03
cUSDT,0.46269817022932047,-0.0,2021-12-03
cWBTC,5.83646403565186e-05,0.012856969636086176,2021-12-03
cWBTC2,0.02753108112668136,0.2242395743774115,2021-12-03
cYFI,0.00010046764826318806,0.00023606911035807846,2021-12-03
cZRX,0.004769353468777055,0.0058335720273823615,2021-12-03
cAAVE,9.448663025266167e-05,0.004212887089749715,2021-12-04
cBAT,0.008219559924484086,0.03883501245777332,2021-12-04
cCOMP,0.0026318580686271608,0.05920293959619292,2021-12-04
cDAI,0.5235285360051883,0.03014367267601355,2021-12-04
cETH,0.05991613804811665,0.9708590160749389,2021-12-04
cLINK,0.013676261982003429,0.0018288742507022516,2021-12-04
cREP,1.6367873483057581e-06,0.0,2021-12-04
cSAI,1.064361086556662e-05,0.0,2021-12-04
