healthBin,account,borrowUSD,pctAccount,pctBorrowUSD,date
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-15
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-15
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-15
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-15
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-15
"(7.0, 7.5]",0,0.0,0.0,0.0,2019-05-15
"(7.5, 8.0]",1,0.07394288167819164,16.666666666666664,0.0008633724183171991,2019-05-15
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-15
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-15
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-15
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-15
"(10.0, inf]",1,4.4347543757478484e-05,16.666666666666664,5.178111162472399e-07,2019-05-15
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-16
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-16
"(1.0, 1.5]",2,8368.242205351831,28.57142857142857,74.31873938814363,2019-05-16
"(1.5, 2.0]",1,375.06158384340296,14.285714285714285,3.3309389738188533,2019-05-16
"(2.0, 2.5]",0,0.0,0.0,0.0,2019-05-16
"(2.5, 3.0]",1,0.7791361462169698,14.285714285714285,0.006919543528693435,2019-05-16
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-16
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-16
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-16
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-16
"(5.0, 5.5]",1,2515.772159552203,14.285714285714285,22.342686898585843,2019-05-16
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-16
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-16
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-16
"(7.0, 7.5]",1,0.08048686029702824,14.285714285714285,0.0007148074646739118,2019-05-16
"(7.5, 8.0]",0,0.0,0.0,0.0,2019-05-16
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-16
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-16
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-16
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-16
"(10.0, inf]",1,4.374015513654113e-05,14.285714285714285,3.884583058925576e-07,2019-05-16
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-17
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-17
"(1.0, 1.5]",4,11036.074363106047,50.0,95.59148849480331,2019-05-17
"(1.5, 2.0]",0,0.0,0.0,0.0,2019-05-17
"(2.0, 2.5]",0,0.0,0.0,0.0,2019-05-17
"(2.5, 3.0]",1,0.6962686824427438,12.5,0.006030890836466344,2019-05-17
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-17
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-17
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-17
"(4.5, 5.0]",0,0.0,0.0,0.0,2019-05-17
"(5.0, 5.5]",0,0.0,0.0,0.0,2019-05-17
"(5.5, 6.0]",0,0.0,0.0,0.0,2019-05-17
"(6.0, 6.5]",0,0.0,0.0,0.0,2019-05-17
"(6.5, 7.0]",0,0.0,0.0,0.0,2019-05-17
"(7.0, 7.5]",0,0.0,0.0,0.0,2019-05-17
"(7.5, 8.0]",1,0.07161364859307452,12.5,0.0006202980371753399,2019-05-17
"(8.0, 8.5]",0,0.0,0.0,0.0,2019-05-17
"(8.5, 9.0]",0,0.0,0.0,0.0,2019-05-17
"(9.0, 9.5]",0,0.0,0.0,0.0,2019-05-17
"(9.5, 10.0]",0,0.0,0.0,0.0,2019-05-17
"(10.0, inf]",2,508.19647807437946,25.0,4.4018603163230425,2019-05-17
"(0.0, 0.5]",0,0.0,0.0,0.0,2019-05-18
"(0.5, 1.0]",0,0.0,0.0,0.0,2019-05-18
"(1.0, 1.5]",2,7207.098937112042,28.57142857142857,82.86074591263356,2019-05-18
"(1.5, 2.0]",0,0.0,0.0,0.0,2019-05-18
"(2.0, 2.5]",3,1490.6748183914638,42.857142857142854,17.138439258694476,2019-05-18
"(2.5, 3.0]",0,0.0,0.0,0.0,2019-05-18
"(3.0, 3.5]",0,0.0,0.0,0.0,2019-05-18
"(3.5, 4.0]",0,0.0,0.0,0.0,2019-05-18
"(4.0, 4.5]",0,0.0,0.0,0.0,2019-05-18
